19
255 2 2 1 26
594 246 15
596 244 0
597 242 0
598 240 0
599 239 16
600 236 0
600 235 0
601 234 0
601 232 16
601 231 0
601 230 0
601 228 0
600 226 15
598 224 0
597 222 0
595 220 0
594 218 16
592 215 0
590 212 0
588 210 0
585 208 16
582 205 0
578 203 0
574 200 0
570 198 15
566 196 0
563 195 16
560 194 0
557 192 0
554 192 0
551 191 15
548 190 0
545 189 0
543 189 0
540 189 0
537 188 0
535 188 16
534 188 0
532 188 0
531 188 0
529 188 16
528 188 0
527 188 0
526 188 15
525 189 16
16711680 2 0 8 55
135 364 0
134 364 0
132 364 16
130 364 0
129 365 0
127 366 0
125 368 15
124 369 0
121 371 0
120 375 0
119 378 16
118 380 0
117 383 0
116 385 0
115 388 16
115 391 0
115 393 0
115 394 0
115 396 15
116 398 0
117 400 0
119 401 0
121 403 16
122 404 0
124 405 0
127 406 0
128 406 15
130 406 0
131 406 0
134 406 0
136 406 16
138 406 0
139 405 0
141 404 0
142 402 16
144 399 0
144 397 0
147 394 0
148 391 15
148 389 0
149 384 16
149 381 0
151 378 0
153 374 0
153 371 0
153 368 16
153 366 0
153 364 0
152 363 0
152 361 15
152 359 0
151 359 0
150 357 16
149 357 0
149 356 0
16711680 2 0 8 26
200 344 0
200 345 15
200 347 0
200 350 16
200 354 0
198 358 0
196 363 16
194 369 0
192 375 0
189 382 0
186 389 0
183 395 0
179 402 0
175 408 15
171 414 0
166 420 16
163 425 0
159 430 0
156 434 0
155 438 0
152 441 0
151 443 15
149 446 0
149 447 0
148 448 0
148 449 32
16711680 2 0 8 25
155 437 0
158 436 0
159 435 0
160 435 0
163 434 16
165 434 0
167 434 0
170 434 0
172 434 15
175 434 0
178 434 0
182 434 0
184 434 16
187 434 0
190 434 0
192 435 0
195 436 16
197 436 0
199 437 0
200 437 0
201 437 15
202 438 0
203 438 0
204 438 16
204 439 16
16711680 2 0 8 38
133 448 0
127 452 0
122 456 0
117 461 0
111 466 15
106 470 0
102 476 0
98 480 0
97 484 16
96 488 0
95 490 0
95 494 0
95 497 15
95 500 0
95 502 0
96 505 0
96 507 16
98 509 0
100 511 0
103 514 0
106 516 16
110 518 0
114 520 0
119 521 15
124 522 0
129 523 0
136 523 0
143 524 0
150 524 16
158 524 0
165 524 0
173 522 0
181 520 16
189 518 0
198 516 0
205 514 0
210 512 15
216 509 0
16711680 2 0 8 53
313 392 0
314 392 0
314 395 16
314 398 15
313 402 0
311 406 0
309 411 0
306 417 16
304 422 0
301 428 0
299 434 0
298 440 16
296 447 0
294 453 0
292 460 0
291 465 15
291 469 0
291 472 0
291 477 0
291 480 16
293 482 0
294 484 15
296 486 0
299 488 0
301 489 16
305 490 0
309 491 0
312 491 0
317 491 0
321 490 0
325 489 0
330 487 16
336 485 0
340 482 0
345 479 0
350 475 15
353 473 0
358 470 0
361 467 0
364 463 16
366 460 0
367 457 0
370 455 16
371 453 0
373 451 15
373 448 0
373 446 0
373 445 0
373 444 0
373 442 16
373 441 0
373 440 0
373 439 0
16711680 2 0 8 23
388 415 0
389 415 15
390 414 0
391 414 0
392 413 16
393 412 0
394 411 0
